Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,800.0000016,,,RIGHT,454.82779999997547,2019-12-11 14:14:08.700211,2019-12-11 14:14:09.364643,1,2.6362527666666664,S16,Response_Selection
RIGHT,1500.000003,,,RIGHT,548.7221999999861,2019-12-11 14:14:10.878436,2019-12-11 14:14:11.637512,2,2.6362527666666664,S16,Response_Selection
LEFT,966.6666686,,,LEFT,416.2779000000114,2019-12-11 14:14:12.619425,2019-12-11 14:14:13.244876,3,2.6362527666666664,S16,Response_Selection
LEFT,500.000001,,,LEFT,428.3042000000137,2019-12-11 14:14:13.758494,2019-12-11 14:14:14.397069,4,2.6362527666666664,S16,Response_Selection
RIGHT,1166.666669,,,RIGHT,274.5241000000078,2019-12-11 14:14:15.576258,2019-12-11 14:14:16.060194,5,2.6362527666666664,S16,Response_Selection
LEFT,1500.000003,,,LEFT,261.97010000004184,2019-12-11 14:14:17.572740,2019-12-11 14:14:18.044952,6,2.6362527666666664,S16,Response_Selection
RIGHT,933.3333352,,,RIGHT,284.1397999999913,2019-12-11 14:14:18.990991,2019-12-11 14:14:19.483835,7,2.6362527666666664,S16,Response_Selection
RIGHT,1133.3333356,,,LEFT,283.70390000003454,2019-12-11 14:14:20.631288,2019-12-11 14:14:21.125285,8,2.6362527666666664,S16,Response_Selection
RIGHT,750.0000015,RIGHT,-457.276,RIGHT,626.105100000018,2019-12-11 14:14:21.888741,2019-12-11 14:14:22.725568,9,2.6362527666666664,S16,Response_Selection
RIGHT,883.3333351,,,RIGHT,372.20490000004247,2019-12-11 14:14:23.622987,2019-12-11 14:14:24.205429,10,2.6362527666666664,S16,Response_Selection
RIGHT,1300.0000026,,,RIGHT,441.0896999999636,2019-12-11 14:14:25.513749,2019-12-11 14:14:26.164012,11,2.6362527666666664,S16,Response_Selection
LEFT,1316.6666693,,,LEFT,273.75770000003286,2019-12-11 14:14:27.489467,2019-12-11 14:14:27.971790,12,2.6362527666666664,S16,Response_Selection
LEFT,1166.666669,,,LEFT,552.2146000000134,2019-12-11 14:14:29.146751,2019-12-11 14:14:29.909143,13,2.6362527666666664,S16,Response_Selection
LEFT,600.0000012,,,LEFT,415.4147999999509,2019-12-11 14:14:30.523830,2019-12-11 14:14:31.148202,14,2.6362527666666664,S16,Response_Selection
RIGHT,1216.6666691,,,RIGHT,344.72619999996823,2019-12-11 14:14:32.377925,2019-12-11 14:14:32.933542,15,2.6362527666666664,S16,Response_Selection
RIGHT,1033.3333354000001,,,LEFT,343.6608000000092,2019-12-11 14:14:33.980086,2019-12-11 14:14:34.532696,16,2.6362527666666664,S16,Response_Selection
RIGHT,633.3333346000001,RIGHT,-277.161,RIGHT,719.4931999999881,2019-12-11 14:14:35.179930,2019-12-11 14:14:36.108015,17,2.6362527666666664,S16,Response_Selection
LEFT,800.0000016,,,LEFT,374.4580999999698,2019-12-11 14:14:36.916539,2019-12-11 14:14:37.501203,18,2.6362527666666664,S16,Response_Selection
LEFT,933.3333352,,,LEFT,410.2522999999678,2019-12-11 14:14:38.449079,2019-12-11 14:14:39.069357,19,2.6362527666666664,S16,Response_Selection
RIGHT,866.6666684,,,RIGHT,314.70279999996364,2019-12-11 14:14:39.944218,2019-12-11 14:14:40.468243,20,2.6362527666666664,S16,Response_Selection
RIGHT,583.3333345,,,RIGHT,433.47920000002205,2019-12-11 14:14:41.065634,2019-12-11 14:14:41.708126,21,2.6362527666666664,S16,Response_Selection
LEFT,1200.0000024,,,LEFT,345.6676999999786,2019-12-11 14:14:42.921594,2019-12-11 14:14:43.477161,22,2.6362527666666664,S16,Response_Selection
LEFT,1416.6666695000001,,,LEFT,389.38680000001114,2019-12-11 14:14:44.909744,2019-12-11 14:14:45.509545,23,2.6362527666666664,S16,Response_Selection
RIGHT,1250.0000025,,,RIGHT,580.6649000000448,2019-12-11 14:14:46.774815,2019-12-11 14:14:47.563795,24,2.6362527666666664,S16,Response_Selection
RIGHT,1366.6666694,,,LEFT,760.9185999999681,2019-12-11 14:14:48.938309,2019-12-11 14:14:49.906107,25,2.6362527666666664,S16,Response_Selection
LEFT,983.3333353,,,LEFT,437.2870999999918,2019-12-11 14:14:50.902514,2019-12-11 14:14:51.546812,26,2.6362527666666664,S16,Response_Selection
LEFT,833.333335,,,LEFT,647.8329000000258,2019-12-11 14:14:52.395782,2019-12-11 14:14:53.249657,27,2.6362527666666664,S16,Response_Selection
RIGHT,1066.6666688,,,RIGHT,399.353900000051,2019-12-11 14:14:54.323724,2019-12-11 14:14:54.929730,28,2.6362527666666664,S16,Response_Selection
RIGHT,1016.6666687000001,,,RIGHT,394.7573000000375,2019-12-11 14:14:55.960210,2019-12-11 14:14:56.561901,29,2.6362527666666664,S16,Response_Selection
RIGHT,683.3333347,,,RIGHT,463.98629999998775,2019-12-11 14:14:57.258866,2019-12-11 14:14:57.931121,30,2.6362527666666664,S16,Response_Selection
LEFT,866.6666684,,,LEFT,392.5980999999865,2019-12-11 14:14:58.810916,2019-12-11 14:14:59.410848,31,2.6362527666666664,S16,Response_Selection
LEFT,1350.0000027,,,LEFT,395.3465999999821,2019-12-11 14:15:00.776129,2019-12-11 14:15:01.378026,32,2.6362527666666664,S16,Response_Selection
LEFT,583.3333345,,,LEFT,541.526900000008,2019-12-11 14:15:01.973354,2019-12-11 14:15:02.722200,33,2.6362527666666664,S16,Response_Selection
LEFT,700.0000014,,,LEFT,391.9396000000006,2019-12-11 14:15:03.434876,2019-12-11 14:15:04.033783,34,2.6362527666666664,S16,Response_Selection
LEFT,916.6666685,,,LEFT,365.40029999997614,2019-12-11 14:15:04.957793,2019-12-11 14:15:05.530846,35,2.6362527666666664,S16,Response_Selection
