Conflict,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
False,LEFT,1116.6666689,,,,,Time_Max_Exceeded,2389.164699999924,2019-12-11 14:23:32.186189,2019-12-11 14:23:34.575343,1,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1450.0000029,LEFT,-1402.212,,,LEFT,3400.673299999994,2019-12-11 14:23:36.042370,2019-12-11 14:23:39.651418,2,5.734949833333333,S16,Conflict_Resolution
True,LEFT,966.6666686,,,,,Time_Max_Exceeded,1500.0612000000046,2019-12-11 14:23:40.642558,2019-12-11 14:23:42.142530,3,5.734949833333333,S16,Conflict_Resolution
False,LEFT,733.3333348,DOWN,-533.573,,,LEFT,557.5661999999966,2019-12-11 14:23:42.893499,2019-12-11 14:23:43.659532,4,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1233.3333358,,,,,LEFT,1567.4315999999635,2019-12-11 14:23:44.916157,2019-12-11 14:23:46.691463,5,5.734949833333333,S16,Conflict_Resolution
False,LEFT,950.0000019,,,,,LEFT,569.3853000000217,2019-12-11 14:23:47.657522,2019-12-11 14:23:48.434070,6,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1300.0000026,,,,,Time_Max_Exceeded,1500.0579000000016,2019-12-11 14:23:49.752042,2019-12-11 14:23:51.251449,7,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1283.3333359,LEFT,-1024.292,,,Time_Max_Exceeded,1500.0807000000123,2019-12-11 14:23:52.552004,2019-12-11 14:23:54.052003,8,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1166.666669,,,,,LEFT,950.5361000000221,2019-12-11 14:23:55.236342,2019-12-11 14:23:56.394579,9,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1466.6666696,,,,,LEFT,697.4089000000276,2019-12-11 14:23:57.881483,2019-12-11 14:23:58.785692,10,5.734949833333333,S16,Conflict_Resolution
False,LEFT,683.3333347,,,,,LEFT,469.1990999999689,2019-12-11 14:23:59.493792,2019-12-11 14:24:00.169644,11,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1133.3333356,,,,,RIGHT,675.8290999999872,2019-12-11 14:24:01.319315,2019-12-11 14:24:02.202504,12,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1250.0000025,,,,,LEFT,1320.1404000000139,2019-12-11 14:24:03.474839,2019-12-11 14:24:05.002423,13,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,733.3333348,,,,,Time_Max_Exceeded,1500.073499999985,2019-12-11 14:24:05.755913,2019-12-11 14:24:07.255922,14,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1050.0000021,,,,,LEFT,846.7021999999815,2019-12-11 14:24:08.324957,2019-12-11 14:24:09.379235,15,5.734949833333333,S16,Conflict_Resolution
True,LEFT,916.6666685,,,,,LEFT,1045.5709999999954,2019-12-11 14:24:10.318006,2019-12-11 14:24:11.571348,16,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1100.0000022,,,,,LEFT,1102.2232000000258,2019-12-11 14:24:12.693318,2019-12-11 14:24:14.001796,17,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1216.6666691,,,,,RIGHT,825.7038000000421,2019-12-11 14:24:15.241568,2019-12-11 14:24:16.273978,18,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1016.6666687000001,,,,,LEFT,1207.6151999999638,2019-12-11 14:24:17.308122,2019-12-11 14:24:18.722434,19,5.734949833333333,S16,Conflict_Resolution
True,LEFT,566.6666678,,,,,LEFT,978.4184999999752,2019-12-11 14:24:19.312808,2019-12-11 14:24:20.497753,20,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,983.3333353,,,,,RIGHT,696.6697999999951,2019-12-11 14:24:21.499051,2019-12-11 14:24:22.401715,21,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,833.333335,,,,,RIGHT,1302.56200000008,2019-12-11 14:24:23.252906,2019-12-11 14:24:24.761975,22,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,533.3333344,,,,,RIGHT,859.2611000000261,2019-12-11 14:24:25.320364,2019-12-11 14:24:26.385808,23,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1416.6666695000001,,,,,LEFT,642.6946999999927,2019-12-11 14:24:27.824924,2019-12-11 14:24:28.675157,24,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1250.0000025,,,,,LEFT,550.4118000000062,2019-12-11 14:24:29.948965,2019-12-11 14:24:30.707209,25,5.734949833333333,S16,Conflict_Resolution
True,LEFT,900.0000018000001,,,,,LEFT,1043.4454999999616,2019-12-11 14:24:31.623784,2019-12-11 14:24:32.874447,26,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1216.6666691,,,,,LEFT,615.7008000000133,2019-12-11 14:24:34.115474,2019-12-11 14:24:34.937923,27,5.734949833333333,S16,Conflict_Resolution
True,LEFT,633.3333346000001,,,,,LEFT,506.3973999999689,2019-12-11 14:24:35.592435,2019-12-11 14:24:36.307530,28,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,900.0000018000001,,,,,RIGHT,773.3819999999696,2019-12-11 14:24:37.230180,2019-12-11 14:24:38.209773,29,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1500.000003,,,,,LEFT,492.51300000003084,2019-12-11 14:24:39.735009,2019-12-11 14:24:40.434278,30,5.734949833333333,S16,Conflict_Resolution
False,LEFT,783.3333349000001,,,,,LEFT,703.6428000000114,2019-12-11 14:24:41.235738,2019-12-11 14:24:42.146953,31,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,583.3333345,,,,,RIGHT,610.3932999999415,2019-12-11 14:24:42.752330,2019-12-11 14:24:43.569744,32,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1000.000002,,,,,LEFT,530.6943000000501,2019-12-11 14:24:44.592223,2019-12-11 14:24:45.331393,33,5.734949833333333,S16,Conflict_Resolution
False,LEFT,816.6666683,,,,,LEFT,458.891900000026,2019-12-11 14:24:46.167859,2019-12-11 14:24:46.834125,34,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1000.000002,,,,,LEFT,441.25770000005105,2019-12-11 14:24:47.849539,2019-12-11 14:24:48.498011,35,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1366.6666694,,,,,LEFT,561.5473000000293,2019-12-11 14:24:49.889800,2019-12-11 14:24:50.659456,36,5.734949833333333,S16,Conflict_Resolution
True,LEFT,783.3333349000001,,,,,LEFT,860.4162999999971,2019-12-11 14:24:51.463317,2019-12-11 14:24:52.530201,37,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1050.0000021,,,,,LEFT,664.771299999984,2019-12-11 14:24:53.602548,2019-12-11 14:24:54.475302,38,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,950.0000019,,,,,RIGHT,713.8429999999971,2019-12-11 14:24:55.441035,2019-12-11 14:24:56.361822,39,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1316.6666693,,,,,RIGHT,556.9453000000522,2019-12-11 14:24:57.702430,2019-12-11 14:24:58.466070,40,5.734949833333333,S16,Conflict_Resolution
False,LEFT,900.0000018000001,,,,,LEFT,607.6239999999871,2019-12-11 14:24:59.387620,2019-12-11 14:25:00.204984,41,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,633.3333346000001,,,,,RIGHT,487.36859999996796,2019-12-11 14:25:00.860245,2019-12-11 14:25:01.554367,42,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1266.6666692000001,,,,,LEFT,501.20379999998477,2019-12-11 14:25:02.845961,2019-12-11 14:25:03.554088,43,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1066.6666688,,,,,LEFT,788.7567999999874,2019-12-11 14:25:04.646212,2019-12-11 14:25:05.642021,44,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1483.3333363,,,,,RIGHT,784.7302999999783,2019-12-11 14:25:07.146525,2019-12-11 14:25:08.137642,45,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1416.6666695000001,,,,,RIGHT,562.7468000000135,2019-12-11 14:25:09.576301,2019-12-11 14:25:10.346465,46,5.734949833333333,S16,Conflict_Resolution
True,LEFT,866.6666684,,,,,LEFT,1016.4159999999356,2019-12-11 14:25:11.235343,2019-12-11 14:25:12.458969,47,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1100.0000022,,,,,RIGHT,532.7500999999302,2019-12-11 14:25:13.582224,2019-12-11 14:25:14.322042,48,5.734949833333333,S16,Conflict_Resolution
False,LEFT,516.6666677000001,,,,,LEFT,508.4606000000349,2019-12-11 14:25:14.863076,2019-12-11 14:25:15.577656,49,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1266.6666692000001,,,,,RIGHT,622.7008999999271,2019-12-11 14:25:16.868892,2019-12-11 14:25:17.698666,50,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1100.0000022,,,,,LEFT,468.75680000005104,2019-12-11 14:25:18.822183,2019-12-11 14:25:19.499436,51,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1216.6666691,,,,,RIGHT,558.5509000000002,2019-12-11 14:25:20.740378,2019-12-11 14:25:21.506359,52,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1133.3333356,,,,,RIGHT,774.8500999999806,2019-12-11 14:25:22.660364,2019-12-11 14:25:23.643315,53,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1483.3333363,,,,,RIGHT,572.4353000000519,2019-12-11 14:25:25.151194,2019-12-11 14:25:25.929840,54,5.734949833333333,S16,Conflict_Resolution
True,LEFT,1366.6666694,,,,,LEFT,579.5838999999887,2019-12-11 14:25:27.319986,2019-12-11 14:25:28.107604,55,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1183.3333357000001,,,,,RIGHT,882.2889000000487,2019-12-11 14:25:29.312866,2019-12-11 14:25:30.402991,56,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1150.0000023,,,,,RIGHT,737.4116999999387,2019-12-11 14:25:31.577399,2019-12-11 14:25:32.522175,57,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1333.3333360000001,,,,,RIGHT,744.9967000000015,2019-12-11 14:25:33.874572,2019-12-11 14:25:34.827182,58,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1150.0000023,,,,,LEFT,610.5675000000019,2019-12-11 14:25:36.000606,2019-12-11 14:25:36.818613,59,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,500.000001,,,,,RIGHT,732.3476000000255,2019-12-11 14:25:37.342795,2019-12-11 14:25:38.282630,60,5.734949833333333,S16,Conflict_Resolution
False,LEFT,666.6666680000001,,,,,LEFT,541.4683000000196,2019-12-11 14:25:38.973997,2019-12-11 14:25:39.722024,61,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1333.3333360000001,,,,,RIGHT,365.68799999997736,2019-12-11 14:25:41.077649,2019-12-11 14:25:41.649728,62,5.734949833333333,S16,Conflict_Resolution
False,LEFT,1316.6666693,,,,,LEFT,578.7275000000136,2019-12-11 14:25:42.984462,2019-12-11 14:25:43.770543,63,5.734949833333333,S16,Conflict_Resolution
False,LEFT,866.6666684,,,,,LEFT,494.28119999993214,2019-12-11 14:25:44.660821,2019-12-11 14:25:45.362141,64,5.734949833333333,S16,Conflict_Resolution
True,RIGHT,1033.3333354000001,,,,,RIGHT,607.0433999999523,2019-12-11 14:25:46.419946,2019-12-11 14:25:47.234239,65,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,1466.6666696,,,,,RIGHT,556.0345000000098,2019-12-11 14:25:48.719387,2019-12-11 14:25:49.482011,66,5.734949833333333,S16,Conflict_Resolution
False,RIGHT,550.0000011,,,,,RIGHT,694.1497000000254,2019-12-11 14:25:50.053058,2019-12-11 14:25:50.955151,67,5.734949833333333,S16,Conflict_Resolution
False,LEFT,716.6666681,,,,,LEFT,581.1650000000554,2019-12-11 14:25:51.693780,2019-12-11 14:25:52.481824,68,5.734949833333333,S16,Conflict_Resolution
