Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,LEFT,933.3333352,,,,,Time_Max_Exceeded,1500.1968,56:31.4,56:32.9,1,S1,ConflictResolution
INCONGRUENT,LEFT,583.3333345,,,,,Time_Max_Exceeded,1500.1691,56:33.6,56:35.1,2,S1,ConflictResolution
INCONGRUENT,RIGHT,983.3333353,,,,,RIGHT,714.0109,56:36.1,56:37.0,3,S1,ConflictResolution
INCONGRUENT,RIGHT,1133.333336,,,,,RIGHT,501.903,56:38.2,56:38.9,4,S1,ConflictResolution
INCONGRUENT,LEFT,1100.000002,,,,,LEFT,615.2773,56:40.0,56:40.9,5,S1,ConflictResolution
CONGRUENT,LEFT,1383.333336,,,,,LEFT,438.3663,56:42.3,56:43.0,6,S1,ConflictResolution
INCONGRUENT,RIGHT,533.3333344,,,,,RIGHT,499.6599,56:43.5,56:44.3,7,S1,ConflictResolution
CONGRUENT,RIGHT,916.6666685,,,,,RIGHT,439.6379,56:45.2,56:45.9,8,S1,ConflictResolution
CONGRUENT,RIGHT,1283.333336,,,,,RIGHT,402.3175,56:47.2,56:47.9,9,S1,ConflictResolution
CONGRUENT,LEFT,800.0000016,,,,,LEFT,588.3826,56:48.7,56:49.5,10,S1,ConflictResolution
INCONGRUENT,RIGHT,683.3333347,,,,,RIGHT,573.7578,56:50.2,56:51.0,11,S1,ConflictResolution
INCONGRUENT,RIGHT,1433.333336,,,,,RIGHT,387.6395,56:52.5,56:53.1,12,S1,ConflictResolution
INCONGRUENT,RIGHT,633.3333346,,,,,RIGHT,717.3712,56:53.8,56:54.7,13,S1,ConflictResolution
INCONGRUENT,LEFT,1466.66667,,,,,LEFT,557.7858,56:56.2,56:57.0,14,S1,ConflictResolution
INCONGRUENT,RIGHT,816.6666683,,,,,RIGHT,556.9238,56:57.9,56:58.7,15,S1,ConflictResolution
INCONGRUENT,LEFT,900.0000018,,,,,LEFT,531.0248,56:59.6,57:00.3,16,S1,ConflictResolution
CONGRUENT,RIGHT,883.3333351,,,,,RIGHT,356.0424,57:01.3,57:01.8,17,S1,ConflictResolution
CONGRUENT,RIGHT,633.3333346,,,,,RIGHT,409.1176,57:02.5,57:03.2,18,S1,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,,,,,RIGHT,580.3749,57:04.4,57:05.2,19,S1,ConflictResolution
CONGRUENT,LEFT,1250.000003,,,,,LEFT,385.6743,57:06.5,57:07.1,20,S1,ConflictResolution
CONGRUENT,LEFT,900.0000018,,,,,LEFT,467.9594,57:08.0,57:08.7,21,S1,ConflictResolution
INCONGRUENT,LEFT,633.3333346,,,,,LEFT,643.7194,57:09.4,57:10.3,22,S1,ConflictResolution
INCONGRUENT,LEFT,1183.333336,,,,,LEFT,496.4563,57:11.5,57:12.3,23,S1,ConflictResolution
INCONGRUENT,LEFT,866.6666684,,,,,LEFT,436.9701,57:13.2,57:13.8,24,S1,ConflictResolution
INCONGRUENT,RIGHT,666.666668,,,,,RIGHT,460.9652,57:14.5,57:15.2,25,S1,ConflictResolution
CONGRUENT,RIGHT,983.3333353,,,,,RIGHT,442.8432,57:16.2,57:16.9,26,S1,ConflictResolution
CONGRUENT,RIGHT,1033.333335,,,,,RIGHT,462.6176,57:18.0,57:18.7,27,S1,ConflictResolution
CONGRUENT,RIGHT,1350.000003,,,,,RIGHT,475.5288,57:20.1,57:20.8,28,S1,ConflictResolution
CONGRUENT,LEFT,1483.333336,,,,,LEFT,415.4235,57:22.3,57:22.9,29,S1,ConflictResolution
INCONGRUENT,LEFT,1250.000003,,,,,LEFT,556.2356,57:24.2,57:25.0,30,S1,ConflictResolution
CONGRUENT,RIGHT,600.0000012,,,,,RIGHT,535.7853,57:25.6,57:26.4,31,S1,ConflictResolution
CONGRUENT,LEFT,1433.333336,,,,,LEFT,479.3261,57:27.8,57:28.5,32,S1,ConflictResolution
CONGRUENT,LEFT,633.3333346,,,,,LEFT,482.1473,57:29.2,57:29.9,33,S1,ConflictResolution
INCONGRUENT,LEFT,1150.000002,,,,,LEFT,563.714,57:31.1,57:31.9,34,S1,ConflictResolution
INCONGRUENT,LEFT,1016.666669,,,,,LEFT,471.9007,57:32.9,57:33.6,35,S1,ConflictResolution
CONGRUENT,LEFT,1283.333336,,,,,LEFT,386.163,57:34.9,57:35.5,36,S1,ConflictResolution
INCONGRUENT,LEFT,1116.666669,,,,,LEFT,615.7926,57:36.7,57:37.6,37,S1,ConflictResolution
CONGRUENT,RIGHT,1333.333336,,,,,RIGHT,415.8824,57:38.9,57:39.6,38,S1,ConflictResolution
INCONGRUENT,RIGHT,1233.333336,,,,,RIGHT,590.4963,57:40.8,57:41.6,39,S1,ConflictResolution
CONGRUENT,LEFT,1466.66667,,,,,LEFT,517.3937,57:43.1,57:43.9,40,S1,ConflictResolution
CONGRUENT,RIGHT,516.6666677,,,,,RIGHT,603.5849,57:44.4,57:45.3,41,S1,ConflictResolution
CONGRUENT,RIGHT,583.3333345,,,,,RIGHT,952.1114,57:45.9,57:47.1,42,S1,ConflictResolution
CONGRUENT,RIGHT,850.0000017,,,,,RIGHT,596.8203,57:48.0,57:48.8,43,S1,ConflictResolution
INCONGRUENT,LEFT,1433.333336,,,,,LEFT,628.8149,57:50.3,57:51.1,44,S1,ConflictResolution
INCONGRUENT,LEFT,1383.333336,,,,,LEFT,989.2872,57:52.6,57:53.8,45,S1,ConflictResolution
INCONGRUENT,RIGHT,1283.333336,,,,,RIGHT,680.4875,57:55.1,57:56.0,46,S1,ConflictResolution
INCONGRUENT,RIGHT,1083.333336,,,,,RIGHT,752.2103,57:57.1,57:58.1,47,S1,ConflictResolution
INCONGRUENT,LEFT,1283.333336,,,,,LEFT,553.6494,57:59.4,58:00.2,48,S1,ConflictResolution
CONGRUENT,RIGHT,1200.000002,,,,,RIGHT,417.4067,58:01.4,58:02.1,49,S1,ConflictResolution
INCONGRUENT,RIGHT,1483.333336,,,,,RIGHT,531.7506,58:03.6,58:04.4,50,S1,ConflictResolution
INCONGRUENT,RIGHT,1416.66667,,,,,RIGHT,517.338,58:05.8,58:06.5,51,S1,ConflictResolution
CONGRUENT,LEFT,1016.666669,,,,,LEFT,465.479,58:07.6,58:08.3,52,S1,ConflictResolution
INCONGRUENT,RIGHT,750.0000015,,,,,RIGHT,472.6316,58:09.1,58:09.8,53,S1,ConflictResolution
CONGRUENT,LEFT,1366.666669,,,,,LEFT,385.3858,58:11.2,58:11.8,54,S1,ConflictResolution
CONGRUENT,LEFT,816.6666683,,,,,LEFT,377.8505,58:12.7,58:13.3,55,S1,ConflictResolution
INCONGRUENT,RIGHT,1183.333336,,,,,RIGHT,400.5273,58:14.5,58:15.1,56,S1,ConflictResolution
INCONGRUENT,LEFT,650.0000013,,,,,LEFT,476.0805,58:15.8,58:16.5,57,S1,ConflictResolution
CONGRUENT,LEFT,733.3333348,,,,,LEFT,391.5433,58:17.3,58:17.9,58,S1,ConflictResolution
CONGRUENT,RIGHT,950.0000019,,,,,RIGHT,422.2199,58:18.9,58:19.5,59,S1,ConflictResolution
CONGRUENT,RIGHT,1433.333336,,,,,RIGHT,445.027,58:21.0,58:21.7,60,S1,ConflictResolution
INCONGRUENT,RIGHT,916.6666685,,,,,RIGHT,743.8126,58:22.7,58:23.6,61,S1,ConflictResolution
CONGRUENT,RIGHT,1100.000002,,,,,RIGHT,604.2175,58:24.8,58:25.6,62,S1,ConflictResolution
CONGRUENT,RIGHT,1166.666669,,,,,RIGHT,547.4727,58:26.8,58:27.6,63,S1,ConflictResolution
CONGRUENT,RIGHT,1133.333336,,,,,RIGHT,890.8105,58:28.8,58:29.9,64,S1,ConflictResolution
INCONGRUENT,LEFT,716.6666681,,,,,LEFT,775.2732,58:30.6,58:31.6,65,S1,ConflictResolution
INCONGRUENT,LEFT,800.0000016,,,,,LEFT,610.2815,58:32.5,58:33.3,66,S1,ConflictResolution
CONGRUENT,LEFT,1416.66667,,,,,LEFT,499.0081,58:34.8,58:35.5,67,S1,ConflictResolution
INCONGRUENT,LEFT,916.6666685,,,,,LEFT,762.2958,58:36.4,58:37.4,68,S1,ConflictResolution
INCONGRUENT,LEFT,666.666668,,,,,LEFT,629.1191,58:38.2,58:39.0,69,S1,ConflictResolution
CONGRUENT,RIGHT,1266.666669,,,,,RIGHT,618.08,58:40.3,58:41.2,70,S1,ConflictResolution
CONGRUENT,LEFT,750.0000015,,,,,LEFT,900.9958,58:41.9,58:43.1,71,S1,ConflictResolution
INCONGRUENT,LEFT,533.3333344,,,,,LEFT,506.2359,58:43.7,58:44.4,72,S1,ConflictResolution
INCONGRUENT,LEFT,1366.666669,,,,,LEFT,504.8563,58:45.8,58:46.5,73,S1,ConflictResolution
INCONGRUENT,RIGHT,1033.333335,,,,,RIGHT,620.621,58:47.6,58:48.4,74,S1,ConflictResolution
INCONGRUENT,RIGHT,566.6666678,,,,,RIGHT,510.5173,58:49.0,58:49.8,75,S1,ConflictResolution
INCONGRUENT,RIGHT,766.6666682,,,,,RIGHT,513.5101,58:50.6,58:51.3,76,S1,ConflictResolution
CONGRUENT,LEFT,1116.666669,,,,,LEFT,456.5577,58:52.5,58:53.2,77,S1,ConflictResolution
CONGRUENT,LEFT,700.0000014,,,,,LEFT,709.8032,58:53.9,58:54.8,78,S1,ConflictResolution
CONGRUENT,LEFT,850.0000017,,,,,LEFT,415.6904,58:55.7,58:56.4,79,S1,ConflictResolution
INCONGRUENT,RIGHT,616.6666679,,,,,RIGHT,462.9555,58:57.0,58:57.7,80,S1,ConflictResolution
CONGRUENT,RIGHT,1050.000002,,,,,RIGHT,389.4755,58:58.8,58:59.4,81,S1,ConflictResolution
CONGRUENT,LEFT,516.6666677,,,,,LEFT,395.9926,59:00.0,59:00.6,82,S1,ConflictResolution
CONGRUENT,LEFT,866.6666684,,,,,LEFT,423.1833,59:01.5,59:02.2,83,S1,ConflictResolution
INCONGRUENT,RIGHT,1250.000003,,,,,RIGHT,515.8447,59:03.5,59:04.2,84,S1,ConflictResolution
INCONGRUENT,RIGHT,1266.666669,,,,,RIGHT,426.0944,59:05.5,59:06.2,85,S1,ConflictResolution
INCONGRUENT,RIGHT,700.0000014,,,,,RIGHT,422.8582,59:06.9,59:07.5,86,S1,ConflictResolution
CONGRUENT,LEFT,1400.000003,,,,,LEFT,333.7383,59:09.0,59:09.6,87,S1,ConflictResolution
CONGRUENT,RIGHT,1366.666669,,,,,RIGHT,363.4833,59:11.0,59:11.6,88,S1,ConflictResolution
CONGRUENT,LEFT,1000.000002,,,,,LEFT,338.1233,59:12.6,59:13.2,89,S1,ConflictResolution
INCONGRUENT,LEFT,833.333335,,,,,RIGHT,287.3267,59:14.0,59:14.5,90,S1,ConflictResolution
CONGRUENT,RIGHT,966.6666686,,,,,RIGHT,447.555,59:15.6,59:16.2,91,S1,ConflictResolution
INCONGRUENT,RIGHT,583.3333345,,,,,RIGHT,412.7987,59:16.9,59:17.5,92,S1,ConflictResolution
CONGRUENT,LEFT,950.0000019,,,,,LEFT,371.3879,59:18.5,59:19.1,93,S1,ConflictResolution
INCONGRUENT,RIGHT,516.6666677,,,,,RIGHT,599.1533,59:19.7,59:20.5,94,S1,ConflictResolution
INCONGRUENT,LEFT,816.6666683,,,,,LEFT,468.1828,59:21.3,59:22.0,95,S1,ConflictResolution
INCONGRUENT,LEFT,1316.666669,,,,,LEFT,526.0463,59:23.4,59:24.1,96,S1,ConflictResolution
INCONGRUENT,LEFT,700.0000014,,,,,LEFT,513.9655,59:24.9,59:25.6,97,S1,ConflictResolution
INCONGRUENT,RIGHT,1366.666669,,,,,RIGHT,606.8336,59:27.0,59:27.8,98,S1,ConflictResolution
INCONGRUENT,RIGHT,1450.000003,,,,,RIGHT,482.6864,59:29.3,59:30.0,99,S1,ConflictResolution
CONGRUENT,RIGHT,1183.333336,,,,,RIGHT,448.0288,59:31.3,59:31.9,100,S1,ConflictResolution
CONGRUENT,RIGHT,1000.000002,,,,,RIGHT,350.8124,59:33.0,59:33.5,101,S1,ConflictResolution
CONGRUENT,LEFT,1316.666669,,,,,LEFT,368.2295,59:34.9,59:35.5,102,S1,ConflictResolution
CONGRUENT,LEFT,916.6666685,,,,,LEFT,360.1547,59:36.4,59:37.0,103,S1,ConflictResolution
INCONGRUENT,LEFT,1083.333336,,,,,LEFT,433.0432,59:38.1,59:38.8,104,S1,ConflictResolution
INCONGRUENT,RIGHT,1000.000002,,,,,RIGHT,391.2226,59:39.8,59:40.4,105,S1,ConflictResolution
CONGRUENT,LEFT,716.6666681,,,,,LEFT,349.2322,59:41.2,59:41.8,106,S1,ConflictResolution
CONGRUENT,LEFT,650.0000013,,,,,LEFT,368.7886,59:42.5,59:43.1,107,S1,ConflictResolution
CONGRUENT,LEFT,550.0000011,,,,,LEFT,342.6372,59:43.7,59:44.2,108,S1,ConflictResolution
CONGRUENT,RIGHT,783.3333349,,,,,RIGHT,353.8489,59:45.0,59:45.6,109,S1,ConflictResolution
INCONGRUENT,RIGHT,1050.000002,,,,,RIGHT,439.4054,59:46.7,59:47.4,110,S1,ConflictResolution
CONGRUENT,LEFT,933.3333352,,,,,LEFT,355.5306,59:48.4,59:48.9,111,S1,ConflictResolution
INCONGRUENT,RIGHT,1333.333336,,,,,RIGHT,416.8819,59:50.3,59:50.9,112,S1,ConflictResolution
INCONGRUENT,RIGHT,966.6666686,,,,,RIGHT,354.8113,59:52.0,59:52.5,113,S1,ConflictResolution
CONGRUENT,LEFT,833.333335,,,,,LEFT,362.1141,59:53.4,59:54.0,114,S1,ConflictResolution
INCONGRUENT,RIGHT,1100.000002,,,,,RIGHT,452.7798,59:55.2,59:55.8,115,S1,ConflictResolution
INCONGRUENT,LEFT,1133.333336,,,,,LEFT,447.7748,59:57.0,59:57.7,116,S1,ConflictResolution
INCONGRUENT,LEFT,966.6666686,,,,,LEFT,459.5113,59:58.7,59:59.4,117,S1,ConflictResolution
INCONGRUENT,LEFT,1200.000002,,,,,LEFT,515.7403,00:00.6,00:01.4,118,S1,ConflictResolution
CONGRUENT,RIGHT,866.6666684,,,,,RIGHT,393.9681,00:02.3,00:02.9,119,S1,ConflictResolution
CONGRUENT,RIGHT,500.000001,,,,,RIGHT,492.6959,00:03.4,00:04.2,120,S1,ConflictResolution
INCONGRUENT,RIGHT,716.6666681,,,,,RIGHT,474.7808,00:04.9,00:05.6,121,S1,ConflictResolution
CONGRUENT,RIGHT,1250.000003,,,,,RIGHT,405.2388,00:06.9,00:07.5,122,S1,ConflictResolution
INCONGRUENT,RIGHT,1150.000002,,,,,RIGHT,573.1245,00:08.7,00:09.5,123,S1,ConflictResolution
INCONGRUENT,RIGHT,1383.333336,,,,,RIGHT,498.2102,00:10.9,00:11.6,124,S1,ConflictResolution
CONGRUENT,LEFT,1233.333336,,,,,LEFT,457.8524,00:12.9,00:13.6,125,S1,ConflictResolution
INCONGRUENT,LEFT,566.6666678,,,,,LEFT,600.6962,00:14.2,00:15.0,126,S1,ConflictResolution
INCONGRUENT,LEFT,1300.000003,,,,,LEFT,508.5323,00:16.4,00:17.1,127,S1,ConflictResolution
CONGRUENT,LEFT,1300.000003,,,,,LEFT,404.7136,00:18.4,00:19.1,128,S1,ConflictResolution
CONGRUENT,RIGHT,1150.000002,,,,,RIGHT,567.8819,00:20.2,00:21.0,129,S1,ConflictResolution
INCONGRUENT,RIGHT,883.3333351,,,,,RIGHT,449.9017,00:21.9,00:22.6,130,S1,ConflictResolution
CONGRUENT,LEFT,1100.000002,,,,,LEFT,376.1106,00:23.8,00:24.4,131,S1,ConflictResolution
CONGRUENT,RIGHT,1383.333336,,,,,RIGHT,510.7106,00:25.8,00:26.5,132,S1,ConflictResolution
CONGRUENT,RIGHT,1300.000003,,,,,RIGHT,381.8715,00:27.9,00:28.5,133,S1,ConflictResolution
INCONGRUENT,RIGHT,600.0000012,,,,,RIGHT,633.045,00:29.1,00:29.9,134,S1,ConflictResolution
INCONGRUENT,RIGHT,950.0000019,,,,,RIGHT,450.4809,00:30.9,00:31.6,135,S1,ConflictResolution
CONGRUENT,RIGHT,700.0000014,,,,,RIGHT,426.0029,00:32.4,00:33.0,136,S1,ConflictResolution
INCONGRUENT,LEFT,550.0000011,,,,,LEFT,596.6652,00:33.6,00:34.4,137,S1,ConflictResolution
CONGRUENT,LEFT,1050.000002,,,,,LEFT,463.5423,00:35.5,00:36.2,138,S1,ConflictResolution
INCONGRUENT,LEFT,733.3333348,,,,,LEFT,473.7847,00:36.9,00:37.6,139,S1,ConflictResolution
INCONGRUENT,LEFT,516.6666677,,,,,LEFT,435.0806,00:38.2,00:38.8,140,S1,ConflictResolution
CONGRUENT,RIGHT,716.6666681,,,,,RIGHT,394.8172,00:39.6,00:40.2,141,S1,ConflictResolution
INCONGRUENT,LEFT,850.0000017,,,,,LEFT,456.0933,00:41.1,00:41.8,142,S1,ConflictResolution
INCONGRUENT,LEFT,1416.66667,,,,,LEFT,493.4044,00:43.2,00:44.0,143,S1,ConflictResolution
CONGRUENT,LEFT,1333.333336,,,,,LEFT,463.419,00:45.3,00:46.0,144,S1,ConflictResolution
INCONGRUENT,RIGHT,500.000001,,,,,RIGHT,628.1807,00:46.6,00:47.4,145,S1,ConflictResolution
CONGRUENT,RIGHT,766.6666682,,,,,RIGHT,449.5383,00:48.3,00:48.9,146,S1,ConflictResolution
CONGRUENT,RIGHT,816.6666683,,,,,RIGHT,485.9948,00:49.8,00:50.5,147,S1,ConflictResolution
CONGRUENT,LEFT,1083.333336,,,,,LEFT,448.7753,00:51.6,00:52.3,148,S1,ConflictResolution
CONGRUENT,RIGHT,1083.333336,,,,,RIGHT,470.7123,00:53.4,00:54.1,149,S1,ConflictResolution
CONGRUENT,RIGHT,666.666668,,,,,RIGHT,453.9287,00:54.8,00:55.5,150,S1,ConflictResolution
INCONGRUENT,LEFT,1333.333336,,,,,LEFT,465.7062,00:56.9,00:57.5,151,S1,ConflictResolution
INCONGRUENT,RIGHT,1200.000002,,,,,RIGHT,583.4506,00:58.8,00:59.6,152,S1,ConflictResolution
INCONGRUENT,RIGHT,783.3333349,,,,,RIGHT,563.7741,01:00.4,01:01.2,153,S1,ConflictResolution
INCONGRUENT,LEFT,1000.000002,,,,,LEFT,497.5705,01:02.2,01:02.9,154,S1,ConflictResolution
CONGRUENT,LEFT,566.6666678,,,,,LEFT,608.697,01:03.6,01:04.4,155,S1,ConflictResolution
CONGRUENT,RIGHT,1466.66667,,,,,RIGHT,476.5601,01:05.9,01:06.6,156,S1,ConflictResolution
INCONGRUENT,LEFT,750.0000015,,,,,LEFT,527.3279,01:07.4,01:08.1,157,S1,ConflictResolution
INCONGRUENT,RIGHT,800.0000016,,,,,RIGHT,557.3229,01:08.9,01:09.7,158,S1,ConflictResolution
INCONGRUENT,LEFT,1216.666669,,,,,LEFT,513.884,01:11.0,01:11.7,159,S1,ConflictResolution
INCONGRUENT,LEFT,1400.000003,,,,,LEFT,543.1874,01:13.2,01:13.9,160,S1,ConflictResolution
