Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1016.666669,,,LEFT,279.1519,47:07.9,47:08.4,56,S1,ResponseSelection
RIGHT,1066.666669,,,RIGHT,355.9123,47:09.5,47:10.1,57,S1,ResponseSelection
LEFT,600.0000012,,,LEFT,302.4708,47:10.7,47:11.2,58,S1,ResponseSelection
RIGHT,866.6666684,,,RIGHT,328.3898,47:12.1,47:12.6,59,S1,ResponseSelection
LEFT,950.0000019,,,LEFT,292.0117,47:13.6,47:14.1,60,S1,ResponseSelection
LEFT,1466.66667,,,LEFT,333.6224,47:15.6,47:16.2,61,S1,ResponseSelection
RIGHT,1100.000002,,,RIGHT,314.8315,47:17.3,47:17.8,62,S1,ResponseSelection
LEFT,1200.000002,,,LEFT,295.3111,47:19.0,47:19.5,63,S1,ResponseSelection
RIGHT,583.3333345,,,RIGHT,339.6703,47:20.1,47:20.7,64,S1,ResponseSelection
RIGHT,600.0000012,,,RIGHT,391.8457,47:21.3,47:21.9,65,S1,ResponseSelection
RIGHT,1233.333336,,,RIGHT,329.5722,47:23.2,47:23.7,66,S1,ResponseSelection
LEFT,500.000001,,,LEFT,320.6168,47:24.3,47:24.8,67,S1,ResponseSelection
LEFT,566.6666678,,,LEFT,323.8159,47:25.4,47:25.9,68,S1,ResponseSelection
LEFT,1383.333336,,,LEFT,289.9358,47:27.3,47:27.9,69,S1,ResponseSelection
RIGHT,1466.66667,,,RIGHT,377.9123,47:29.3,47:29.9,70,S1,ResponseSelection
RIGHT,883.3333351,,,RIGHT,326.0204,47:30.8,47:31.4,71,S1,ResponseSelection
RIGHT,500.000001,,,RIGHT,389.7028,47:31.9,47:32.5,72,S1,ResponseSelection
LEFT,1150.000002,,,LEFT,312.1865,47:33.7,47:34.2,73,S1,ResponseSelection
RIGHT,700.0000014,,,RIGHT,317.5581,47:35.0,47:35.5,74,S1,ResponseSelection
RIGHT,1050.000002,,,RIGHT,355.1065,47:36.6,47:37.1,75,S1,ResponseSelection
RIGHT,1216.666669,,,RIGHT,308.6915,47:38.4,47:38.9,76,S1,ResponseSelection
LEFT,716.6666681,,,LEFT,347.0016,47:39.7,47:40.2,77,S1,ResponseSelection
LEFT,866.6666684,,,LEFT,396.7686,47:41.1,47:41.7,78,S1,ResponseSelection
LEFT,533.3333344,,,LEFT,364.7802,47:42.3,47:42.9,79,S1,ResponseSelection
LEFT,1250.000003,,,LEFT,341.3356,47:44.2,47:44.7,80,S1,ResponseSelection
RIGHT,900.0000018,,,RIGHT,307.8737,47:45.6,47:46.2,81,S1,ResponseSelection
LEFT,1033.333335,,,LEFT,321.2475,47:47.2,47:47.7,82,S1,ResponseSelection
LEFT,1400.000003,,,LEFT,359.4785,47:49.2,47:49.7,83,S1,ResponseSelection
RIGHT,850.0000017,,,RIGHT,347.4307,47:50.6,47:51.2,84,S1,ResponseSelection
LEFT,1216.666669,,,LEFT,352.4357,47:52.4,47:53.0,85,S1,ResponseSelection
LEFT,1116.666669,,,LEFT,329.6165,47:54.1,47:54.7,86,S1,ResponseSelection
LEFT,933.3333352,,,LEFT,354.8667,47:55.6,47:56.2,87,S1,ResponseSelection
LEFT,666.666668,,,LEFT,352.4008,47:56.9,47:57.5,88,S1,ResponseSelection
RIGHT,1016.666669,,,RIGHT,352.3769,47:58.5,47:59.1,89,S1,ResponseSelection
LEFT,1350.000003,,,LEFT,355.461,48:00.5,48:01.0,90,S1,ResponseSelection
RIGHT,1316.666669,,,RIGHT,270.2221,48:02.4,48:02.8,91,S1,ResponseSelection
RIGHT,1283.333336,,,RIGHT,307.2125,48:04.2,48:04.7,92,S1,ResponseSelection
LEFT,616.6666679,,,RIGHT,275.3174,48:05.3,48:05.8,93,S1,ResponseSelection
RIGHT,516.6666677,,,RIGHT,440.3833,48:06.3,48:07.0,94,S1,ResponseSelection
RIGHT,1033.333335,,,RIGHT,357.1999,48:08.1,48:08.6,95,S1,ResponseSelection
RIGHT,950.0000019,,,RIGHT,417.3467,48:09.6,48:10.3,96,S1,ResponseSelection
RIGHT,650.0000013,,,RIGHT,360.9492,48:10.9,48:11.5,97,S1,ResponseSelection
RIGHT,983.3333353,,,RIGHT,400.9493,48:12.5,48:13.1,98,S1,ResponseSelection
LEFT,983.3333353,,,LEFT,314.8253,48:14.2,48:14.7,99,S1,ResponseSelection
RIGHT,1416.66667,,,RIGHT,381.3777,48:16.1,48:16.7,100,S1,ResponseSelection
