Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,883.3333351,FALSE,,"('Time_Max_Exceeded', 0.06180000002586894)",0,LEFT,480.8744,45:58.9,45:59.6,38,s4,ResponseInhibition
RIGHT,1150.000002,TRUE,133.3333336,"('Time_Max_Exceeded', 1150.3308999999717)",0,Time_Max_Exceeded,1500.110234,46:00.8,46:02.3,39,s4,ResponseInhibition
LEFT,683.3333347,FALSE,,"('Time_Max_Exceeded', 0.5558999999948355)",0,LEFT,403.8729,46:03.0,46:03.6,40,s4,ResponseInhibition
LEFT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.2643000000376)",0,LEFT,470.4433,46:04.9,46:05.6,41,s4,ResponseInhibition
RIGHT,1066.666669,TRUE,233.3333338,"('Time_Max_Exceeded', 0.5091000000447821)",0,RIGHT,489.7812338,46:06.7,46:07.4,42,s4,ResponseInhibition
LEFT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1050.2594000000158)",0,LEFT,461.0939,46:08.4,46:09.1,43,s4,ResponseInhibition
RIGHT,1116.666669,FALSE,,"('Time_Max_Exceeded', 0.509299999976065)",0,RIGHT,617.8647,46:10.2,46:11.0,44,s4,ResponseInhibition
LEFT,716.6666681,FALSE,,"('Time_Max_Exceeded', 716.9289999999933)",0,LEFT,541.4116,46:11.8,46:12.5,45,s4,ResponseInhibition
RIGHT,1350.000003,FALSE,,"('Time_Max_Exceeded', 1351.2805999999955)",0,RIGHT,447.1072,46:13.9,46:14.5,46,s4,ResponseInhibition
LEFT,1316.666669,FALSE,,"('Time_Max_Exceeded', 1317.0764999999847)",0,LEFT,396.2239,46:15.9,46:16.5,47,s4,ResponseInhibition
RIGHT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.2525999999648)",0,RIGHT,566.3823,46:17.8,46:18.6,48,s4,ResponseInhibition
LEFT,1200.000002,TRUE,33.3333334,"('Time_Max_Exceeded', 0.691899999992529)",0,Time_Max_Exceeded,1500.055333,46:19.8,46:21.3,49,s4,ResponseInhibition
RIGHT,783.3333349,FALSE,,"('Time_Max_Exceeded', 0.27769999996962724)",0,RIGHT,356.0846,46:22.1,46:22.6,50,s4,ResponseInhibition
LEFT,900.0000018,FALSE,,"('Time_Max_Exceeded', 900.3349000000185)",0,LEFT,401.1867,46:23.6,46:24.2,51,s4,ResponseInhibition
RIGHT,616.6666679,FALSE,,"('Time_Max_Exceeded', 0.2734999999915999)",0,RIGHT,363.5734,46:24.8,46:25.4,52,s4,ResponseInhibition
RIGHT,1233.333336,TRUE,116.6666669,"('Time_Max_Exceeded', 1233.9059999999904)",0,Time_Max_Exceeded,1500.060867,46:26.6,46:28.1,53,s4,ResponseInhibition
RIGHT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1416.7551000000458)",0,RIGHT,536.5016,46:29.5,46:30.3,54,s4,ResponseInhibition
RIGHT,666.666668,TRUE,83.3333335,"('Time_Max_Exceeded', 666.9712000000345)",0,Time_Max_Exceeded,1500.051134,46:31.0,46:32.5,55,s4,ResponseInhibition
RIGHT,500.000001,FALSE,,"('Time_Max_Exceeded', 500.05679999998165)",0,RIGHT,538.177,46:33.0,46:33.7,56,s4,ResponseInhibition
RIGHT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.7015000000179)",0,RIGHT,360.3226,46:35.1,46:35.6,57,s4,ResponseInhibition
