Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1150.000002,FALSE,,,,LEFT,531.3271,48:39.5,48:40.2,1,S1,ResponseInhibition
LEFT,683.3333347,FALSE,,,,LEFT,417.5205,48:40.9,48:41.6,2,S1,ResponseInhibition
LEFT,1333.333336,FALSE,,,,LEFT,454.9613,48:42.9,48:43.6,3,S1,ResponseInhibition
LEFT,933.3333352,FALSE,,,,LEFT,348.3796,48:44.5,48:45.1,4,S1,ResponseInhibition
LEFT,516.6666677,FALSE,,,,LEFT,366.0977,48:45.6,48:46.2,5,S1,ResponseInhibition
LEFT,600.0000012,FALSE,,,,LEFT,340.529,48:46.9,48:47.4,6,S1,ResponseInhibition
LEFT,1016.666669,FALSE,,,,LEFT,363.2009,48:48.5,48:49.1,7,S1,ResponseInhibition
LEFT,750.0000015,FALSE,,,,LEFT,344.4646,48:49.8,48:50.4,8,S1,ResponseInhibition
RIGHT,1066.666669,TRUE,200.0000004,,,Time_Max_Exceeded,1500.1363,48:51.5,48:53.0,9,S1,ResponseInhibition
RIGHT,1500.000003,FALSE,,,,RIGHT,550.9549,48:54.5,48:55.3,10,S1,ResponseInhibition
RIGHT,983.3333353,TRUE,66.6666668,,,Time_Max_Exceeded,1500.107667,48:56.3,48:57.8,11,S1,ResponseInhibition
RIGHT,1316.666669,TRUE,200.0000004,,,RIGHT,437.4879004,48:59.1,48:59.8,12,S1,ResponseInhibition
LEFT,1116.666669,TRUE,233.3333338,,,LEFT,456.0230338,49:01.0,49:01.7,13,S1,ResponseInhibition
RIGHT,966.6666686,FALSE,,,,RIGHT,854.9433,49:02.7,49:03.7,14,S1,ResponseInhibition
LEFT,1233.333336,FALSE,,,,LEFT,797.8098,49:05.0,49:06.0,15,S1,ResponseInhibition
LEFT,533.3333344,TRUE,100.0000002,,,Time_Max_Exceeded,1500.1701,49:06.6,49:08.1,16,S1,ResponseInhibition
LEFT,500.000001,FALSE,,,,LEFT,574.9811,49:08.6,49:09.4,17,S1,ResponseInhibition
LEFT,716.6666681,FALSE,,,,LEFT,760.1774,49:10.1,49:11.1,18,S1,ResponseInhibition
RIGHT,1016.666669,FALSE,,,,RIGHT,652.6894,49:12.1,49:13.0,19,S1,ResponseInhibition
LEFT,1033.333335,TRUE,133.3333336,,,Time_Max_Exceeded,1500.164534,49:14.1,49:15.6,20,S1,ResponseInhibition
RIGHT,883.3333351,FALSE,,,,RIGHT,656.8825,49:16.5,49:17.3,21,S1,ResponseInhibition
RIGHT,650.0000013,FALSE,,,,RIGHT,782.3579,49:18.0,49:19.0,22,S1,ResponseInhibition
RIGHT,516.6666677,TRUE,216.6666671,,,Time_Max_Exceeded,1500.172767,49:19.6,49:21.1,23,S1,ResponseInhibition
LEFT,1433.333336,TRUE,116.6666669,,,Time_Max_Exceeded,1500.109267,49:22.5,49:24.0,24,S1,ResponseInhibition
LEFT,766.6666682,FALSE,,,,LEFT,644.4549,49:24.8,49:25.7,25,S1,ResponseInhibition
LEFT,950.0000019,TRUE,183.3333337,,,Time_Max_Exceeded,1500.129434,49:26.6,49:28.1,26,S1,ResponseInhibition
RIGHT,1433.333336,FALSE,,,,RIGHT,776.9293,49:29.6,49:30.6,27,S1,ResponseInhibition
RIGHT,1350.000003,FALSE,,,,RIGHT,912.0647,49:32.0,49:33.1,28,S1,ResponseInhibition
RIGHT,1333.333336,FALSE,,,,RIGHT,609.8865,49:34.4,49:35.3,29,S1,ResponseInhibition
RIGHT,716.6666681,FALSE,,,,RIGHT,788.8033,49:36.0,49:37.0,30,S1,ResponseInhibition
RIGHT,683.3333347,FALSE,,,,RIGHT,892.3046,49:37.7,49:38.8,31,S1,ResponseInhibition
RIGHT,1483.333336,TRUE,83.3333335,,,Time_Max_Exceeded,1500.107133,49:40.3,49:41.9,32,S1,ResponseInhibition
LEFT,866.6666684,TRUE,33.3333334,,,Time_Max_Exceeded,1500.159433,49:42.7,49:44.3,33,S1,ResponseInhibition
RIGHT,616.6666679,FALSE,,,,RIGHT,648.774,49:44.9,49:45.8,34,S1,ResponseInhibition
RIGHT,833.333335,TRUE,266.6666672,,,Time_Max_Exceeded,1500.108067,49:46.6,49:48.1,35,S1,ResponseInhibition
LEFT,616.6666679,TRUE,266.6666672,,,Time_Max_Exceeded,1500.160067,49:48.8,49:50.3,36,S1,ResponseInhibition
LEFT,1200.000002,TRUE,133.3333336,,,Time_Max_Exceeded,1500.138234,49:51.5,49:53.0,37,S1,ResponseInhibition
RIGHT,500.000001,FALSE,,,,RIGHT,767.2519,49:53.5,49:54.5,38,S1,ResponseInhibition
RIGHT,666.666668,TRUE,100.0000002,,,Time_Max_Exceeded,1500.1929,49:55.2,49:56.7,39,S1,ResponseInhibition
RIGHT,1283.333336,FALSE,,,,RIGHT,828.5053,49:58.0,49:59.1,40,S1,ResponseInhibition
RIGHT,850.0000017,FALSE,,,,RIGHT,781.2261,49:59.9,50:00.9,41,S1,ResponseInhibition
LEFT,1500.000003,FALSE,,,,LEFT,685.2856,50:02.5,50:03.4,42,S1,ResponseInhibition
RIGHT,1466.66667,FALSE,,,,RIGHT,539.3268,50:04.8,50:05.6,43,S1,ResponseInhibition
LEFT,800.0000016,FALSE,,,,LEFT,633.0397,50:06.4,50:07.3,44,S1,ResponseInhibition
RIGHT,1250.000003,FALSE,,,,RIGHT,637.3148,50:08.6,50:09.4,45,S1,ResponseInhibition
RIGHT,1400.000003,TRUE,16.6666667,,,Time_Max_Exceeded,1500.277467,50:10.8,50:12.3,46,S1,ResponseInhibition
LEFT,883.3333351,FALSE,,,,LEFT,538.0387,50:13.3,50:14.0,47,S1,ResponseInhibition
RIGHT,750.0000015,TRUE,50.0000001,,,Time_Max_Exceeded,1500.1358,50:14.8,50:16.3,48,S1,ResponseInhibition
RIGHT,1233.333336,TRUE,150.0000003,,,Time_Max_Exceeded,1500.1199,50:17.6,50:19.1,49,S1,ResponseInhibition
