Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
RIGHT,700.0000014,,,RIGHT,318.3816999999749,2019-11-07 18:37:55.459423,2019-11-07 18:37:56.013395,1,2.911822033333333,S7,Response_Selection
LEFT,1266.6666692000001,,,LEFT,284.8374000000149,2019-11-07 18:37:57.305207,2019-11-07 18:37:57.808813,2,2.911822033333333,S7,Response_Selection
RIGHT,600.0000012,,,RIGHT,331.1189000000354,2019-11-07 18:37:58.434603,2019-11-07 18:37:58.984483,3,2.911822033333333,S7,Response_Selection
LEFT,683.3333347,,,LEFT,252.34230000000935,2019-11-07 18:37:59.699137,2019-11-07 18:38:00.169626,4,2.911822033333333,S7,Response_Selection
LEFT,1316.6666693,,,LEFT,298.46729999997024,2019-11-07 18:38:01.509423,2019-11-07 18:38:02.022402,5,2.911822033333333,S7,Response_Selection
RIGHT,833.333335,,,RIGHT,232.22390000000814,2019-11-07 18:38:02.884637,2019-11-07 18:38:03.331712,6,2.911822033333333,S7,Response_Selection
RIGHT,1116.6666689,,,RIGHT,292.028700000003,2019-11-07 18:38:04.472255,2019-11-07 18:38:04.982667,7,2.911822033333333,S7,Response_Selection
LEFT,1200.0000024,,,LEFT,232.00620000000072,2019-11-07 18:38:06.213437,2019-11-07 18:38:06.664227,8,2.911822033333333,S7,Response_Selection
RIGHT,1083.3333355,,,RIGHT,243.75249999997095,2019-11-07 18:38:07.771767,2019-11-07 18:38:08.229808,9,2.911822033333333,S7,Response_Selection
RIGHT,783.3333349000001,,,RIGHT,295.221099999992,2019-11-07 18:38:09.039184,2019-11-07 18:38:09.550857,10,2.911822033333333,S7,Response_Selection
LEFT,1416.6666695000001,,,LEFT,98.26829999997244,2019-11-07 18:38:10.993426,2019-11-07 18:38:11.310246,11,2.911822033333333,S7,Response_Selection
LEFT,1350.0000027,,,LEFT,366.1208999999985,2019-11-07 18:38:12.686215,2019-11-07 18:38:13.270693,12,2.911822033333333,S7,Response_Selection
LEFT,983.3333353,,,LEFT,296.67779999999766,2019-11-07 18:38:14.277367,2019-11-07 18:38:14.793288,13,2.911822033333333,S7,Response_Selection
RIGHT,633.3333346000001,,,RIGHT,340.471100000002,2019-11-07 18:38:15.452390,2019-11-07 18:38:16.013052,14,2.911822033333333,S7,Response_Selection
RIGHT,1033.3333354000001,,,RIGHT,310.44530000002624,2019-11-07 18:38:17.072291,2019-11-07 18:38:17.594436,15,2.911822033333333,S7,Response_Selection
LEFT,1366.6666694,,,LEFT,299.62310000001935,2019-11-07 18:38:18.987222,2019-11-07 18:38:19.503954,16,2.911822033333333,S7,Response_Selection
RIGHT,1133.3333356,,,RIGHT,266.356500000029,2019-11-07 18:38:20.664247,2019-11-07 18:38:21.149691,17,2.911822033333333,S7,Response_Selection
RIGHT,733.3333348,,,LEFT,317.9064999999923,2019-11-07 18:38:21.909139,2019-11-07 18:38:22.444699,18,2.911822033333333,S7,Response_Selection
LEFT,866.6666684,,,LEFT,294.1794999999843,2019-11-07 18:38:23.338165,2019-11-07 18:38:23.854445,19,2.911822033333333,S7,Response_Selection
RIGHT,750.0000015,,,RIGHT,267.4220000000105,2019-11-07 18:38:24.630193,2019-11-07 18:38:25.125615,20,2.911822033333333,S7,Response_Selection
LEFT,833.333335,,,LEFT,278.39020000004666,2019-11-07 18:38:25.983211,2019-11-07 18:38:26.479595,21,2.911822033333333,S7,Response_Selection
LEFT,1466.6666696,,,LEFT,275.1357000000212,2019-11-07 18:38:27.971906,2019-11-07 18:38:28.470392,22,2.911822033333333,S7,Response_Selection
LEFT,1133.3333356,,,LEFT,254.86789999996518,2019-11-07 18:38:29.630044,2019-11-07 18:38:30.102140,23,2.911822033333333,S7,Response_Selection
RIGHT,1216.6666691,,,RIGHT,259.30619999996907,2019-11-07 18:38:31.345258,2019-11-07 18:38:31.823146,24,2.911822033333333,S7,Response_Selection
LEFT,933.3333352,,,LEFT,266.551800000002,2019-11-07 18:38:32.781269,2019-11-07 18:38:33.257441,25,2.911822033333333,S7,Response_Selection
RIGHT,1450.0000029,,,RIGHT,399.016999999958,2019-11-07 18:38:34.733126,2019-11-07 18:38:35.344666,26,2.911822033333333,S7,Response_Selection
RIGHT,1166.666669,,,RIGHT,290.70089999999027,2019-11-07 18:38:36.538636,2019-11-07 18:38:37.051550,27,2.911822033333333,S7,Response_Selection
RIGHT,1466.6666696,,,RIGHT,295.0215000000185,2019-11-07 18:38:38.543197,2019-11-07 18:38:39.057452,28,2.911822033333333,S7,Response_Selection
RIGHT,1416.6666695000001,,,RIGHT,329.55279999998766,2019-11-07 18:38:40.499182,2019-11-07 18:38:41.046711,29,2.911822033333333,S7,Response_Selection
