Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,LEFT,933.3333352,"('Time_Max_Exceeded', 933.5966999999528)",0,,,LEFT,534.0464,53:08.6,53:09.3,38,s4,ConflictResolution
INCONGRUENT,RIGHT,1000.000002,"('Time_Max_Exceeded', 1000.2771000000621)",0,,,RIGHT,531.1905,53:10.4,53:11.1,39,s4,ConflictResolution
INCONGRUENT,LEFT,766.6666682,"('Time_Max_Exceeded', 767.5438999999642)",0,,,LEFT,492.3502,53:11.9,53:12.6,40,s4,ConflictResolution
CONGRUENT,LEFT,1400.000003,"('Time_Max_Exceeded', 1400.3329999999323)",0,,,LEFT,427.713,53:14.0,53:14.6,41,s4,ConflictResolution
INCONGRUENT,RIGHT,1450.000003,"('Time_Max_Exceeded', 1450.329399999987)",0,,,RIGHT,481.3124,53:16.1,53:16.8,42,s4,ConflictResolution
INCONGRUENT,LEFT,1183.333336,"('Time_Max_Exceeded', 1183.6381000000529)",0,,,LEFT,457.581,53:18.0,53:18.7,43,s4,ConflictResolution
CONGRUENT,RIGHT,700.0000014,"('Time_Max_Exceeded', 700.3504000000476)",0,,,RIGHT,387.5418,53:19.4,53:20.0,44,s4,ConflictResolution
INCONGRUENT,LEFT,800.0000016,"('Time_Max_Exceeded', 800.3039999999828)",0,,,LEFT,444.3453,53:20.8,53:21.5,45,s4,ConflictResolution
CONGRUENT,RIGHT,983.3333353,"('Time_Max_Exceeded', 983.5346999999501)",0,,,RIGHT,391.877,53:22.5,53:23.1,46,s4,ConflictResolution
INCONGRUENT,RIGHT,1483.333336,"('Time_Max_Exceeded', 1483.8340999999673)",0,,,RIGHT,501.6696,53:24.6,53:25.3,47,s4,ConflictResolution
CONGRUENT,RIGHT,1150.000002,"('Time_Max_Exceeded', 1150.2586999999949)",0,,,RIGHT,402.7807,53:26.5,53:27.1,48,s4,ConflictResolution
INCONGRUENT,LEFT,900.0000018,"('Time_Max_Exceeded', 900.329299999953)",0,,,LEFT,436.6803,53:28.0,53:28.6,49,s4,ConflictResolution
CONGRUENT,RIGHT,1233.333336,"('Time_Max_Exceeded', 1233.6639000000105)",0,,,RIGHT,376.2793,53:29.9,53:30.5,50,s4,ConflictResolution
CONGRUENT,RIGHT,1483.333336,"('Time_Max_Exceeded', 1483.6095000000569)",0,,,RIGHT,425.9894,53:32.0,53:32.6,51,s4,ConflictResolution
INCONGRUENT,LEFT,1016.666669,"('Time_Max_Exceeded', 1016.9366000000082)",0,,,LEFT,475.3536,53:33.7,53:34.3,52,s4,ConflictResolution
INCONGRUENT,LEFT,516.6666677,"('Time_Max_Exceeded', 0.11189999997895939)",0,,,LEFT,520.9357,53:34.9,53:35.6,53,s4,ConflictResolution
