Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,1433.333336,"('Time_Max_Exceeded', 0.3414000000248052)",0,RIGHT,485.5247,02:07.2,02:07.9,1,S2,ResponseSelection
LEFT,983.3333353,"('Time_Max_Exceeded', 983.8551999999936)",0,LEFT,379.6371,02:08.9,02:09.5,2,S2,ResponseSelection
RIGHT,1100.000002,"('Time_Max_Exceeded', 1100.4631000000131)",0,RIGHT,339.8662,02:10.6,02:11.1,3,S2,ResponseSelection
RIGHT,1200.000002,"('Time_Max_Exceeded', 1200.3032000000076)",0,RIGHT,318.952,02:12.4,02:12.9,4,S2,ResponseSelection
RIGHT,1500.000003,"('Time_Max_Exceeded', 1500.3023999999527)",0,RIGHT,351.4394,02:14.4,02:15.0,5,S2,ResponseSelection
RIGHT,1283.333336,"('Time_Max_Exceeded', 1283.8044000000082)",0,RIGHT,385.3361,02:16.3,02:16.9,6,S2,ResponseSelection
RIGHT,866.6666684,"('Time_Max_Exceeded', 867.1792000000096)",0,RIGHT,381.4147,02:17.8,02:18.4,7,S2,ResponseSelection
RIGHT,1383.333336,"('Time_Max_Exceeded', 1383.9214999999854)",0,RIGHT,399.5277,02:19.8,02:20.4,8,S2,ResponseSelection
RIGHT,533.3333344,"('Time_Max_Exceeded', 533.8264999999751)",0,RIGHT,433.292,02:21.0,02:21.6,9,S2,ResponseSelection
RIGHT,1033.333335,"('Time_Max_Exceeded', 1033.747099999971)",0,RIGHT,378.9134,02:22.7,02:23.3,10,S2,ResponseSelection
RIGHT,966.6666686,"('Time_Max_Exceeded', 967.3951000000329)",0,RIGHT,339.8684,02:24.3,02:24.8,11,S2,ResponseSelection
LEFT,1150.000002,"('Time_Max_Exceeded', 1150.5123000000026)",0,LEFT,345.068,02:26.0,02:26.5,12,S2,ResponseSelection
RIGHT,1483.333336,"('Time_Max_Exceeded', 1483.8033999999993)",0,RIGHT,399.0256,02:28.1,02:28.7,13,S2,ResponseSelection
LEFT,583.3333345,"('Time_Max_Exceeded', 583.826600000009)",0,LEFT,512.5226,02:29.3,02:30.0,14,S2,ResponseSelection
LEFT,900.0000018,"('Time_Max_Exceeded', 900.6418000000167)",0,LEFT,394.6579,02:30.9,02:31.6,15,S2,ResponseSelection
