Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1433.333336,"('Time_Max_Exceeded', 0.29299999999921056)",0,DOWN,329.4386,39:40.3,39:40.8,1,s4,ProcessingSpeed
LEFT,1333.333336,"('Time_Max_Exceeded', 1333.6193999999998)",0,DOWN,335.533,39:42.2,39:42.7,2,s4,ProcessingSpeed
RIGHT,700.0000014,"('Time_Max_Exceeded', 700.6681000000015)",0,DOWN,341.7744,39:43.4,39:44.0,3,s4,ProcessingSpeed
LEFT,1466.66667,"('Time_Max_Exceeded', 0.08509999999972706)",0,DOWN,329.8355,39:45.5,39:46.0,4,s4,ProcessingSpeed
LEFT,1400.000003,"('Time_Max_Exceeded', 0.18940000000000623)",0,DOWN,379.5826,39:47.4,39:48.0,5,s4,ProcessingSpeed
RIGHT,783.3333349,"('Time_Max_Exceeded', 0.22620000000017626)",0,DOWN,332.2823,39:48.8,39:49.3,6,s4,ProcessingSpeed
LEFT,916.6666685,"('Time_Max_Exceeded', 916.9536999999934)",0,DOWN,362.1552,39:50.3,39:50.8,7,s4,ProcessingSpeed
LEFT,950.0000019,"('Time_Max_Exceeded', 949.5580000000032)",0,DOWN,340.4122,39:51.8,39:52.4,8,s4,ProcessingSpeed
LEFT,816.6666683,"('Time_Max_Exceeded', 816.9923000000026)",0,DOWN,334.3922,39:53.2,39:53.7,9,s4,ProcessingSpeed
RIGHT,1016.666669,"('Time_Max_Exceeded', 1016.8436000000014)",0,DOWN,312.1404,39:54.8,39:55.3,10,s4,ProcessingSpeed
LEFT,633.3333346,"('Time_Max_Exceeded', 633.6674000000003)",0,DOWN,380.9287,39:55.9,39:56.5,11,s4,ProcessingSpeed
LEFT,600.0000012,"('Time_Max_Exceeded', 600.2599999999986)",0,DOWN,337.3807,39:57.1,39:57.7,12,s4,ProcessingSpeed
LEFT,1266.666669,"('Time_Max_Exceeded', 1267.8472999999997)",0,DOWN,355.6563,39:58.9,39:59.5,13,s4,ProcessingSpeed
LEFT,1150.000002,"('Time_Max_Exceeded', 1150.381099999997)",0,DOWN,338.3213,40:00.7,40:01.2,14,s4,ProcessingSpeed
RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.3659000000027)",0,DOWN,312.0964,40:02.5,40:03.1,15,s4,ProcessingSpeed
RIGHT,1366.666669,"('Time_Max_Exceeded', 1366.9987999999976)",0,DOWN,368.2421,40:04.4,40:05.0,16,s4,ProcessingSpeed
RIGHT,600.0000012,"('Time_Max_Exceeded', 600.4420999999951)",0,DOWN,345.3341,40:05.6,40:06.2,17,s4,ProcessingSpeed
LEFT,1216.666669,"('Time_Max_Exceeded', 1216.8192999999974)",0,DOWN,340.8015,40:07.4,40:07.9,18,s4,ProcessingSpeed
LEFT,1183.333336,"('Time_Max_Exceeded', 1183.6635000000015)",0,DOWN,340.9693,40:09.1,40:09.7,19,s4,ProcessingSpeed
RIGHT,533.3333344,"('Time_Max_Exceeded', 533.636400000006)",0,DOWN,320.9615,40:10.2,40:10.8,20,s4,ProcessingSpeed
RIGHT,1083.333336,"('Time_Max_Exceeded', 1084.6215999999984)",0,DOWN,375.4738,40:11.9,40:12.4,21,s4,ProcessingSpeed
RIGHT,1116.666669,"('Time_Max_Exceeded', 1116.9050999999968)",0,DOWN,300.2567,40:13.6,40:14.1,22,s4,ProcessingSpeed
LEFT,983.3333353,"('Time_Max_Exceeded', 983.6691000000002)",0,DOWN,285.6317,40:15.1,40:15.6,23,s4,ProcessingSpeed
RIGHT,666.666668,"('Time_Max_Exceeded', 666.9693999999993)",0,DOWN,311.9981,40:16.2,40:16.8,24,s4,ProcessingSpeed
RIGHT,950.0000019,"('Time_Max_Exceeded', 950.3219999999999)",0,DOWN,437.088,40:17.7,40:18.4,25,s4,ProcessingSpeed
LEFT,666.666668,"('Time_Max_Exceeded', 0.4881999999994946)",0,DOWN,325.538,40:19.1,40:19.6,26,s4,ProcessingSpeed
LEFT,1016.666669,"('Time_Max_Exceeded', 1016.9939000000028)",0,DOWN,377.8571,40:20.6,40:21.2,27,s4,ProcessingSpeed
RIGHT,566.6666678,"('Time_Max_Exceeded', 567.1655000000015)",0,DOWN,313.636,40:21.8,40:22.3,28,s4,ProcessingSpeed
LEFT,1116.666669,"('Time_Max_Exceeded', 1116.9642000000124)",0,DOWN,301.3293,40:23.4,40:23.9,29,s4,ProcessingSpeed
RIGHT,1466.66667,"('Time_Max_Exceeded', 1466.9927000000057)",0,DOWN,330.407,40:25.4,40:26.0,30,s4,ProcessingSpeed
RIGHT,983.3333353,"('Time_Max_Exceeded', 983.6624)",0,DOWN,394.413,40:27.0,40:27.6,31,s4,ProcessingSpeed
RIGHT,633.3333346,"('Time_Max_Exceeded', 635.4419999999976)",0,DOWN,322.6792,40:28.2,40:28.7,32,s4,ProcessingSpeed
LEFT,733.3333348,"('Time_Max_Exceeded', 733.6715999999939)",0,DOWN,349.8226,40:29.5,40:30.0,33,s4,ProcessingSpeed
LEFT,700.0000014,"('Time_Max_Exceeded', 700.3092000000066)",0,DOWN,312.7866,40:30.8,40:31.3,34,s4,ProcessingSpeed
RIGHT,1183.333336,"('Time_Max_Exceeded', 1183.662499999997)",0,DOWN,321.775,40:32.5,40:33.0,35,s4,ProcessingSpeed
LEFT,533.3333344,"('Time_Max_Exceeded', 533.7775999999934)",0,DOWN,327.4016,40:33.6,40:34.1,36,s4,ProcessingSpeed
RIGHT,1150.000002,"('Time_Max_Exceeded', 1150.2959999999973)",0,DOWN,286.6403,40:35.2,40:35.7,37,s4,ProcessingSpeed
RIGHT,1500.000003,"('Time_Max_Exceeded', 0.5009999999998627)",0,DOWN,362.8794,40:37.3,40:37.8,38,s4,ProcessingSpeed
LEFT,783.3333349,"('Time_Max_Exceeded', 0.5167999999997619)",0,DOWN,332.1377,40:38.6,40:39.2,39,s4,ProcessingSpeed
LEFT,1300.000003,"('Time_Max_Exceeded', 0.1004000000079941)",0,DOWN,365.9849,40:40.5,40:41.0,40,s4,ProcessingSpeed
RIGHT,1050.000002,"('Time_Max_Exceeded', 1051.1515999999972)",0,DOWN,324.38,40:42.1,40:42.6,41,s4,ProcessingSpeed
RIGHT,1400.000003,"('Time_Max_Exceeded', 1400.3734999999865)",0,DOWN,348.0977,40:44.1,40:44.6,42,s4,ProcessingSpeed
RIGHT,1333.333336,"('Time_Max_Exceeded', 1333.6292000000044)",0,DOWN,339.8284,40:46.0,40:46.5,43,s4,ProcessingSpeed
RIGHT,816.6666683,"('Time_Max_Exceeded', 816.9227000000063)",0,DOWN,383.4142,40:47.3,40:47.9,44,s4,ProcessingSpeed
RIGHT,500.000001,"('Time_Max_Exceeded', 500.3216000000066)",0,DOWN,337.1879,40:48.4,40:49.0,45,s4,ProcessingSpeed
LEFT,500.000001,"('Time_Max_Exceeded', 500.2549000000016)",0,DOWN,324.802,40:49.5,40:50.0,46,s4,ProcessingSpeed
LEFT,1050.000002,"('Time_Max_Exceeded', 1050.5396999999875)",0,DOWN,349.7478,40:51.1,40:51.7,47,s4,ProcessingSpeed
RIGHT,883.3333351,"('Time_Max_Exceeded', 883.5949999999997)",0,DOWN,287.9893,40:52.5,40:53.0,48,s4,ProcessingSpeed
LEFT,883.3333351,"('Time_Max_Exceeded', 885.6496999999877)",0,DOWN,292.8302,40:53.9,40:54.4,49,s4,ProcessingSpeed
