Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,683.3333347,FALSE,,"('Time_Max_Exceeded', 684.1214999999465)",0,LEFT,508.748,10:31.2,10:32.0,167,S2,ResponseInhibition
LEFT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1417.1976000000086)",0,LEFT,448.5604,10:33.4,10:34.1,168,S2,ResponseInhibition
RIGHT,1250.000003,FALSE,,"('Time_Max_Exceeded', 1250.4933000000165)",0,RIGHT,402.7847,10:35.3,10:36.0,169,S2,ResponseInhibition
LEFT,750.0000015,FALSE,,"('Time_Max_Exceeded', 750.4343000000517)",0,RIGHT,413.7176,10:36.7,10:37.4,170,S2,ResponseInhibition
RIGHT,1116.666669,FALSE,,"('Time_Max_Exceeded', 1117.3350000000255)",0,RIGHT,388.6595,10:38.5,10:39.1,171,S2,ResponseInhibition
RIGHT,716.6666681,FALSE,,"('Time_Max_Exceeded', 717.1416999999565)",0,RIGHT,434.0326,10:39.9,10:40.5,172,S2,ResponseInhibition
LEFT,1166.666669,FALSE,,"('Time_Max_Exceeded', 1167.4237000000858)",0,LEFT,372.5778,10:41.7,10:42.3,173,S2,ResponseInhibition
LEFT,1250.000003,FALSE,,"('Time_Max_Exceeded', 1250.5098999999973)",0,LEFT,420.6055,10:43.6,10:44.2,174,S2,ResponseInhibition
LEFT,1500.000003,FALSE,,"('Time_Max_Exceeded', 1500.4570999999487)",0,LEFT,483.8137,10:45.7,10:46.4,175,S2,ResponseInhibition
RIGHT,983.3333353,TRUE,200.0000004,"('Time_Max_Exceeded', 0.09999999997489795)",0,Time_Max_Exceeded,1500.1659,10:47.4,10:48.9,176,S2,ResponseInhibition
RIGHT,1066.666669,TRUE,200.0000004,"('Time_Max_Exceeded', 1066.7926999999509)",0,Time_Max_Exceeded,1500.1815,10:50.0,10:51.5,177,S2,ResponseInhibition
LEFT,1150.000002,FALSE,,"('Time_Max_Exceeded', 1150.4730999999992)",0,LEFT,555.8217,10:52.7,10:53.5,178,S2,ResponseInhibition
LEFT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.491999999963)",0,LEFT,614.0451,10:54.8,10:55.6,179,S2,ResponseInhibition
RIGHT,583.3333345,TRUE,216.6666671,"('Time_Max_Exceeded', 583.8248000000021)",0,Time_Max_Exceeded,1500.197367,10:56.3,10:57.8,180,S2,ResponseInhibition
RIGHT,866.6666684,FALSE,,"('Time_Max_Exceeded', 866.8656999999484)",0,RIGHT,774.4899,10:58.7,10:59.7,181,S2,ResponseInhibition
RIGHT,666.666668,TRUE,216.6666671,"('Time_Max_Exceeded', 667.8537000000233)",0,Time_Max_Exceeded,1500.264867,11:00.3,11:01.9,182,S2,ResponseInhibition
LEFT,516.6666677,FALSE,,"('Time_Max_Exceeded', 517.0541999999614)",0,LEFT,618.9875,11:02.4,11:03.2,183,S2,ResponseInhibition
LEFT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1017.174700000055)",0,LEFT,632.567,11:04.3,11:05.1,184,S2,ResponseInhibition
RIGHT,1150.000002,TRUE,233.3333338,"('Time_Max_Exceeded', 1150.767099999939)",0,RIGHT,453.8069338,11:06.3,11:07.0,185,S2,ResponseInhibition
RIGHT,750.0000015,TRUE,216.6666671,"('Time_Max_Exceeded', 750.5016999999725)",0,Time_Max_Exceeded,1500.417867,11:07.8,11:09.3,186,S2,ResponseInhibition
RIGHT,516.6666677,TRUE,233.3333338,"('Time_Max_Exceeded', 517.0244000000821)",0,Time_Max_Exceeded,1500.205334,11:09.8,11:11.3,187,S2,ResponseInhibition
LEFT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.546000000024)",0,LEFT,490.5363,11:12.5,11:13.2,188,S2,ResponseInhibition
RIGHT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.8045999999622)",0,RIGHT,587.7937,11:14.6,11:15.4,189,S2,ResponseInhibition
LEFT,783.3333349,TRUE,233.3333338,"('Time_Max_Exceeded', 783.8129000000436)",0,LEFT,414.7525338,11:16.2,11:16.9,190,S2,ResponseInhibition
LEFT,1200.000002,TRUE,233.3333338,"('Time_Max_Exceeded', 1200.8657000000085)",0,Time_Max_Exceeded,1500.211434,11:18.1,11:19.6,191,S2,ResponseInhibition
LEFT,1116.666669,TRUE,233.3333338,"('Time_Max_Exceeded', 1116.8400999999903)",0,Time_Max_Exceeded,1500.195434,11:20.8,11:22.3,192,S2,ResponseInhibition
RIGHT,1466.66667,FALSE,,"('Time_Max_Exceeded', 1467.2998000000916)",0,RIGHT,622.5409,11:23.8,11:24.6,193,S2,ResponseInhibition
RIGHT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.9543000000276)",0,RIGHT,469.0946,11:25.8,11:26.5,194,S2,ResponseInhibition
LEFT,900.0000018,FALSE,,"('Time_Max_Exceeded', 900.6620999999768)",0,LEFT,536.404,11:27.4,11:28.1,195,S2,ResponseInhibition
RIGHT,1483.333336,TRUE,233.3333338,"('Time_Max_Exceeded', 1484.0292999999747)",0,Time_Max_Exceeded,1500.207134,11:29.6,11:31.2,196,S2,ResponseInhibition
LEFT,766.6666682,FALSE,,"('Time_Max_Exceeded', 766.8339999999034)",0,LEFT,506.805,11:31.9,11:32.7,197,S2,ResponseInhibition
RIGHT,1166.666669,FALSE,,"('Time_Max_Exceeded', 1167.1353000000408)",0,RIGHT,594.7856,11:33.9,11:34.7,198,S2,ResponseInhibition
RIGHT,533.3333344,FALSE,,"('Time_Max_Exceeded', 534.101899999996)",0,RIGHT,457.431,11:35.2,11:35.9,199,S2,ResponseInhibition
RIGHT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.8588999999956)",0,RIGHT,465.5881,11:37.3,11:37.9,200,S2,ResponseInhibition
