Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,900.0000018,FALSE,,"('Time_Max_Exceeded', 900.6455999999616)",0,LEFT,401.2078,06:35.0,06:35.6,38,S2,ResponseInhibition
RIGHT,933.3333352,FALSE,,"('Time_Max_Exceeded', 933.8529000000335)",0,RIGHT,341.2309,06:36.6,06:37.1,39,S2,ResponseInhibition
RIGHT,1116.666669,FALSE,,"('Time_Max_Exceeded', 1117.173100000059)",0,RIGHT,454.3389,06:38.3,06:39.0,40,S2,ResponseInhibition
LEFT,783.3333349,TRUE,166.666667,"('Time_Max_Exceeded', 783.8497999999845)",0,LEFT,416.098267,06:39.8,06:40.4,41,S2,ResponseInhibition
RIGHT,1233.333336,TRUE,300.0000006,"('Time_Max_Exceeded', 1233.7651999999935)",0,Time_Max_Exceeded,1500.195201,06:41.7,06:43.2,42,S2,ResponseInhibition
RIGHT,750.0000015,TRUE,116.6666669,"('Time_Max_Exceeded', 750.5672999999433)",0,Time_Max_Exceeded,1500.201267,06:44.0,06:45.5,43,S2,ResponseInhibition
RIGHT,783.3333349,FALSE,,"('Time_Max_Exceeded', 783.5217000000512)",0,RIGHT,677.4461,06:46.3,06:47.2,44,S2,ResponseInhibition
RIGHT,533.3333344,FALSE,,"('Time_Max_Exceeded', 533.7228999999297)",0,RIGHT,526.9006,06:47.7,06:48.5,45,S2,ResponseInhibition
LEFT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.475399999982)",0,LEFT,571.2645,06:49.8,06:50.6,46,S2,ResponseInhibition
LEFT,1466.66667,FALSE,,"('Time_Max_Exceeded', 1467.1647999999777)",0,LEFT,439.841,06:52.1,06:52.7,47,S2,ResponseInhibition
RIGHT,950.0000019,FALSE,,"('Time_Max_Exceeded', 950.4712000000382)",0,RIGHT,403.7998,06:53.7,06:54.3,48,S2,ResponseInhibition
LEFT,583.3333345,FALSE,,"('Time_Max_Exceeded', 583.991200000014)",0,LEFT,449.3998,06:54.9,06:55.6,49,S2,ResponseInhibition
RIGHT,1150.000002,TRUE,283.3333339,"('Time_Max_Exceeded', 1150.7905999999366)",0,RIGHT,360.7252339,06:56.8,06:57.4,50,S2,ResponseInhibition
RIGHT,1316.666669,TRUE,166.666667,"('Time_Max_Exceeded', 1317.3988000000918)",0,RIGHT,438.492767,06:58.7,06:59.4,51,S2,ResponseInhibition
LEFT,950.0000019,TRUE,100.0000002,"('Time_Max_Exceeded', 950.6051999999272)",0,Time_Max_Exceeded,1500.1878,07:00.4,07:01.9,52,S2,ResponseInhibition
LEFT,750.0000015,FALSE,,"('Time_Max_Exceeded', 750.2067000000352)",0,LEFT,678.3739,07:02.6,07:03.5,53,S2,ResponseInhibition
RIGHT,866.6666684,FALSE,,"('Time_Max_Exceeded', 867.6020999999992)",0,RIGHT,437.395,07:04.4,07:05.1,54,S2,ResponseInhibition
LEFT,850.0000017,FALSE,,"('Time_Max_Exceeded', 850.826100000063)",0,LEFT,373.6916,07:06.0,07:06.6,55,S2,ResponseInhibition
RIGHT,900.0000018,TRUE,233.3333338,"('Time_Max_Exceeded', 900.5351000000701)",0,RIGHT,380.7805338,07:07.5,07:08.1,56,S2,ResponseInhibition
LEFT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1050.4541000000245)",0,LEFT,459.7209,07:09.2,07:09.8,57,S2,ResponseInhibition
LEFT,533.3333344,TRUE,300.0000006,"('Time_Max_Exceeded', 533.8318999999956)",0,LEFT,493.6446006,07:10.4,07:11.1,58,S2,ResponseInhibition
RIGHT,1400.000003,TRUE,33.3333334,"('Time_Max_Exceeded', 1400.4938999999013)",0,Time_Max_Exceeded,1500.363033,07:12.5,07:14.1,59,S2,ResponseInhibition
RIGHT,600.0000012,FALSE,,"('Time_Max_Exceeded', 0.2450000000635555)",0,RIGHT,757.0466,07:14.7,07:15.7,60,S2,ResponseInhibition
