Conflict,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
True,LEFT,716.6666681,,,,,LEFT,417.7683589999788,2019-11-19 11:04:56.425222,2019-11-19 11:04:57.050173,32,5.1913861,S12,Conflict_Resolution
False,LEFT,1366.6666694,,,,,LEFT,381.6628710000032,2019-11-19 11:04:58.434963,2019-11-19 11:04:59.023233,33,5.1913861,S12,Conflict_Resolution
False,RIGHT,950.0000019,,,,,RIGHT,370.84740800003146,2019-11-19 11:04:59.991425,2019-11-19 11:05:00.568908,34,5.1913861,S12,Conflict_Resolution
False,LEFT,533.3333344,,,,,LEFT,361.7421380000678,2019-11-19 11:05:01.121394,2019-11-19 11:05:01.689338,35,5.1913861,S12,Conflict_Resolution
False,LEFT,583.3333345,,,,,LEFT,408.4169620000466,2019-11-19 11:05:02.290799,2019-11-19 11:05:02.907659,36,5.1913861,S12,Conflict_Resolution
False,LEFT,683.3333347,,,,,LEFT,390.58830499993746,2019-11-19 11:05:03.609777,2019-11-19 11:05:04.207472,37,5.1913861,S12,Conflict_Resolution
True,RIGHT,1183.3333357000001,,,,,RIGHT,405.9574609999572,2019-11-19 11:05:05.408871,2019-11-19 11:05:06.021945,38,5.1913861,S12,Conflict_Resolution
False,RIGHT,1083.3333355,,,,,LEFT,456.1401160000287,2019-11-19 11:05:07.123297,2019-11-19 11:05:07.786195,39,5.1913861,S12,Conflict_Resolution
True,LEFT,1316.6666693,,,,,LEFT,498.72141200000897,2019-11-19 11:05:09.123124,2019-11-19 11:05:09.828902,40,5.1913861,S12,Conflict_Resolution
False,LEFT,1000.000002,,,,,LEFT,496.30387100000917,2019-11-19 11:05:10.846542,2019-11-19 11:05:11.549864,41,5.1913861,S12,Conflict_Resolution
False,LEFT,900.0000018000001,,,,,LEFT,442.3609100000476,2019-11-19 11:05:12.468344,2019-11-19 11:05:13.116850,42,5.1913861,S12,Conflict_Resolution
True,LEFT,1200.0000024,,,,,LEFT,560.4088950000232,2019-11-19 11:05:14.335684,2019-11-19 11:05:15.102253,43,5.1913861,S12,Conflict_Resolution
True,RIGHT,950.0000019,,,,,RIGHT,439.64152900002773,2019-11-19 11:05:16.066248,2019-11-19 11:05:16.713265,44,5.1913861,S12,Conflict_Resolution
False,RIGHT,583.3333345,,,,,RIGHT,460.01290599997446,2019-11-19 11:05:17.314828,2019-11-19 11:05:17.981295,45,5.1913861,S12,Conflict_Resolution
True,LEFT,566.6666678,,,,,LEFT,442.2343210000008,2019-11-19 11:05:18.566837,2019-11-19 11:05:19.214754,46,5.1913861,S12,Conflict_Resolution
True,LEFT,1050.0000021,,,,,LEFT,509.6927299999834,2019-11-19 11:05:20.285354,2019-11-19 11:05:21.003982,47,5.1913861,S12,Conflict_Resolution
True,LEFT,1250.0000025,,,,,LEFT,476.37714500001493,2019-11-19 11:05:22.271759,2019-11-19 11:05:22.953738,48,5.1913861,S12,Conflict_Resolution
False,LEFT,516.6666677000001,,,,,LEFT,447.6621510000314,2019-11-19 11:05:23.488914,2019-11-19 11:05:24.143998,49,5.1913861,S12,Conflict_Resolution
False,LEFT,1100.0000022,,,,,LEFT,377.4011440000322,2019-11-19 11:05:25.263253,2019-11-19 11:05:25.847094,50,5.1913861,S12,Conflict_Resolution
False,RIGHT,1383.3333361,,,,,RIGHT,399.9435819999917,2019-11-19 11:05:27.249017,2019-11-19 11:05:27.855847,51,5.1913861,S12,Conflict_Resolution
True,RIGHT,1483.3333363,,,,,RIGHT,466.2334180000016,2019-11-19 11:05:29.358005,2019-11-19 11:05:30.031124,52,5.1913861,S12,Conflict_Resolution
False,LEFT,1500.000003,,,,,LEFT,389.38376700002664,2019-11-19 11:05:31.549076,2019-11-19 11:05:32.145627,53,5.1913861,S12,Conflict_Resolution
True,LEFT,916.6666685,,,,,LEFT,475.24277700006223,2019-11-19 11:05:33.080777,2019-11-19 11:05:33.763209,54,5.1913861,S12,Conflict_Resolution
True,LEFT,783.3333349000001,,,,,LEFT,428.3856499999956,2019-11-19 11:05:34.564066,2019-11-19 11:05:35.199582,55,5.1913861,S12,Conflict_Resolution
True,RIGHT,1333.3333360000001,,,,,RIGHT,464.6596889999728,2019-11-19 11:05:36.551954,2019-11-19 11:05:37.223131,56,5.1913861,S12,Conflict_Resolution
True,LEFT,1066.6666688,,,,,LEFT,426.51783899998463,2019-11-19 11:05:38.308773,2019-11-19 11:05:38.941534,57,5.1913861,S12,Conflict_Resolution
True,LEFT,733.3333348,,,,,LEFT,475.1944680000406,2019-11-19 11:05:39.694369,2019-11-19 11:05:40.376553,58,5.1913861,S12,Conflict_Resolution
True,LEFT,766.6666682,,,,,LEFT,555.2455280000004,2019-11-19 11:05:41.161970,2019-11-19 11:05:41.924433,59,5.1913861,S12,Conflict_Resolution
True,RIGHT,500.000001,,,,,RIGHT,668.333604000054,2019-11-19 11:05:42.442124,2019-11-19 11:05:43.317512,60,5.1913861,S12,Conflict_Resolution
False,RIGHT,1216.6666691,,,,,RIGHT,573.091814999998,2019-11-19 11:05:44.552581,2019-11-19 11:05:45.332673,61,5.1913861,S12,Conflict_Resolution
True,RIGHT,1033.3333354000001,,,,,RIGHT,532.3885560000008,2019-11-19 11:05:46.383153,2019-11-19 11:05:47.123331,62,5.1913861,S12,Conflict_Resolution
False,LEFT,1216.6666691,,,,,LEFT,638.5258500000646,2019-11-19 11:05:48.358601,2019-11-19 11:05:49.204493,63,5.1913861,S12,Conflict_Resolution
True,LEFT,1116.6666689,,,,,LEFT,774.8337409999522,2019-11-19 11:05:50.340524,2019-11-19 11:05:51.322237,64,5.1913861,S12,Conflict_Resolution
True,LEFT,1500.000003,,,,,LEFT,518.612523999991,2019-11-19 11:05:52.839575,2019-11-19 11:05:53.565082,65,5.1913861,S12,Conflict_Resolution
False,RIGHT,1000.000002,,,,,RIGHT,552.4401080000416,2019-11-19 11:05:54.583009,2019-11-19 11:05:55.342662,66,5.1913861,S12,Conflict_Resolution
False,LEFT,1050.0000021,,,,,LEFT,399.10682200002157,2019-11-19 11:05:56.412189,2019-11-19 11:05:57.018012,67,5.1913861,S12,Conflict_Resolution
True,LEFT,1100.0000022,,,,,LEFT,559.4515400000546,2019-11-19 11:05:58.136121,2019-11-19 11:05:58.902904,68,5.1913861,S12,Conflict_Resolution
True,LEFT,583.3333345,,,,,LEFT,614.8684380000304,2019-11-19 11:05:59.504633,2019-11-19 11:06:00.326446,69,5.1913861,S12,Conflict_Resolution
False,LEFT,950.0000019,,,,,LEFT,397.3391539999511,2019-11-19 11:06:01.295422,2019-11-19 11:06:01.898976,70,5.1913861,S12,Conflict_Resolution
False,RIGHT,1416.6666695000001,,,,,RIGHT,370.6122130000722,2019-11-19 11:06:03.333596,2019-11-19 11:06:03.912679,71,5.1913861,S12,Conflict_Resolution
True,RIGHT,933.3333352,,,,,RIGHT,558.2406540000875,2019-11-19 11:06:04.863779,2019-11-19 11:06:05.628788,72,5.1913861,S12,Conflict_Resolution
True,RIGHT,600.0000012,,,,,RIGHT,607.7332380000371,2019-11-19 11:06:06.246199,2019-11-19 11:06:07.061210,73,5.1913861,S12,Conflict_Resolution
True,RIGHT,1233.3333358,,,,,RIGHT,426.95543600007113,2019-11-19 11:06:08.312925,2019-11-19 11:06:08.945902,74,5.1913861,S12,Conflict_Resolution
False,RIGHT,800.0000016,,,,,RIGHT,407.9892380000274,2019-11-19 11:06:09.763714,2019-11-19 11:06:10.378547,75,5.1913861,S12,Conflict_Resolution
True,RIGHT,1433.3333362,,,,,RIGHT,460.2188340001021,2019-11-19 11:06:11.831605,2019-11-19 11:06:12.498086,76,5.1913861,S12,Conflict_Resolution
False,RIGHT,900.0000018000001,,,,,RIGHT,376.39019200003077,2019-11-19 11:06:13.412722,2019-11-19 11:06:13.996231,77,5.1913861,S12,Conflict_Resolution
True,LEFT,1150.0000023,,,,,LEFT,503.5691869999255,2019-11-19 11:06:15.164214,2019-11-19 11:06:15.875275,78,5.1913861,S12,Conflict_Resolution
