Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order
LEFT,1120,,,DOWN,290.70740200000955,2019-03-26 17:00:25.207721,2019-03-26 17:00:25.731067,55
RIGHT,1274,,,DOWN,299.1479660000209,2019-03-26 17:00:27.015326,2019-03-26 17:00:27.547109,56
LEFT,607,,,DOWN,313.57715799998687,2019-03-26 17:00:28.164005,2019-03-26 17:00:28.711116,57
RIGHT,453,,,DOWN,373.53762600000096,2019-03-26 17:00:29.173660,2019-03-26 17:00:29.780922,58
RIGHT,1171,,,DOWN,275.1878960000056,2019-03-26 17:00:30.962010,2019-03-26 17:00:31.471535,59
RIGHT,2043,,,DOWN,282.08550499999774,2019-03-26 17:00:33.524204,2019-03-26 17:00:34.039451,60
LEFT,1992,,,DOWN,275.54128599999217,2019-03-26 17:00:36.041238,2019-03-26 17:00:36.550927,61
LEFT,1787,,,DOWN,242.36987000000454,2019-03-26 17:00:38.347626,2019-03-26 17:00:38.823735,62
LEFT,812,,,DOWN,338.55844499998966,2019-03-26 17:00:39.646554,2019-03-26 17:00:40.218053,63
RIGHT,1120,,,DOWN,306.7505030000177,2019-03-26 17:00:41.347580,2019-03-26 17:00:41.888694,64
LEFT,2197,,,DOWN,269.78825300000153,2019-03-26 17:00:44.095398,2019-03-26 17:00:44.598452,65
RIGHT,1787,,,DOWN,278.78580199998737,2019-03-26 17:00:46.394787,2019-03-26 17:00:46.907606,66
LEFT,915,,,DOWN,366.00882800001955,2019-03-26 17:00:47.832647,2019-03-26 17:00:48.433549,67
LEFT,1633,,,DOWN,287.5310610000099,2019-03-26 17:00:50.076743,2019-03-26 17:00:50.596319,68
RIGHT,1017,,,DOWN,344.1834779999908,2019-03-26 17:00:51.623571,2019-03-26 17:00:52.201245,69
RIGHT,1530,,,DOWN,270.0692960000026,2019-03-26 17:00:53.742135,2019-03-26 17:00:54.246581,70
LEFT,1223,,,DOWN,277.4914280000189,2019-03-26 17:00:55.479674,2019-03-26 17:00:55.991056,71
LEFT,453,,,DOWN,312.97704300001783,2019-03-26 17:00:56.453444,2019-03-26 17:00:57.000569,72
RIGHT,607,,,DOWN,374.0528710000035,2019-03-26 17:00:57.618051,2019-03-26 17:00:58.225155,73
RIGHT,556,,,DOWN,295.2583510000011,2019-03-26 17:00:58.790642,2019-03-26 17:00:59.319984,74
LEFT,710,,,DOWN,267.10211299999287,2019-03-26 17:01:00.039686,2019-03-26 17:01:00.540114,75
LEFT,1274,,,DOWN,341.7000039999891,2019-03-26 17:01:01.824193,2019-03-26 17:01:02.398286,76
LEFT,1325,,,DOWN,287.1433520000153,2019-03-26 17:01:03.732799,2019-03-26 17:01:04.252233,77
RIGHT,1325,,,DOWN,317.40416499999924,2019-03-26 17:01:05.587748,2019-03-26 17:01:06.138274,78
RIGHT,402,,,DOWN,530.2710169999898,2019-03-26 17:01:06.549745,2019-03-26 17:01:07.313182,79
RIGHT,2146,,,DOWN,409.64886300000103,2019-03-26 17:01:09.468939,2019-03-26 17:01:10.111845,80
